hero,pos,kda,gpm,xpm,damageDealt,damageTaken,towerDamage,controlDuration,wardPlanted,wardDestroyed
chaos_knight,pos1,"[0.83, 0.17, 0]","[0.3, 0.7, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
chaos_knight,pos2,"[0.74, 0.26, 0]","[0, 0.53, 0.47]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.35, 0.65]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
chaos_knight,pos3,"[0.51, 0.49, 0]","[0, 0.54, 0.46]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.34, 0.66]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
chaos_knight,pos4,"[0.13, 0.87, 0]","[0, 0.3, 0.7]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.34, 0.66]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
chaos_knight,pos5,"[0.13, 0.87, 0]","[0, 0.28, 0.72]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.33, 0.67]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
shadow_demon,pos1,"[0.05, 0.95, 0]","[0.94, 0.06, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]"
shadow_demon,pos2,"[0, 0.88, 0.12]","[0, 0.85, 0.15]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.8, 0.2]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]"
shadow_demon,pos3,"[0, 0.74, 0.26]","[0, 0.86, 0.14]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.79, 0.21]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]"
shadow_demon,pos4,"[0, 0.22, 0.78]","[0, 0.47, 0.53]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.78, 0.22]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]"
shadow_demon,pos5,"[0, 0, 1]","[0, 0.45, 0.55]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.77, 0.23]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]"
